Round Number, No of CH
-1,0
1,0
2,7
3,7
4,4
5,5
6,9
7,5
8,7
9,6
10,6
11,4
12,6
13,10
14,0
15,3
16,4
17,7
18,5
19,5
20,6
21,3
22,7
23,6
24,4
25,6
26,7
27,4
28,4
29,3
30,6
31,3
32,2
33,8
34,3
35,4
36,9
37,6
38,7
39,2
40,3
41,5
42,4
43,6
44,3
45,7
46,8
47,0
48,9
49,5
50,7
51,4
52,5
53,9
54,1
55,4
56,4
57,4
58,7
59,5
60,7
61,5
62,7
63,1
64,6
65,3
66,7
67,4
68,2
69,8
70,3
71,4
72,12
73,4
74,9
75,5
76,2
77,4
78,5
79,2
80,1
81,5
82,4
83,6
84,5
85,4
86,7
87,4
88,7
89,7
90,4
91,4
92,4
93,11
94,3
95,7
96,6
97,2
98,4
99,5
100,3
101,5
102,8
103,3
104,6
105,2
106,5
107,11
108,5
109,2
110,4
111,5
112,9
113,6
114,3
115,6
116,3
117,5
118,4
119,5
120,5
121,4
122,7
123,2
124,2
125,10
126,2
127,8
128,6
129,4
130,5
131,8
132,4
133,5
134,2
135,5
136,4
137,5
138,7
139,5
140,6
141,4
142,10
143,3
144,4
145,4
146,8
147,3
148,2
149,6
150,2
151,5
152,4
153,6
154,8
155,8
156,7
157,7
158,1
159,2
160,6
161,2
162,3
163,3
164,2
165,7
166,6
167,6
168,9
169,6
170,3
171,9
172,9
173,8
174,7
175,3
176,2
177,2
178,2
179,5
180,3
181,7
182,10
183,5
184,4
185,2
186,4
187,4
188,7
189,4
190,4
191,5
192,5
193,4
194,3
195,4
196,6
197,8
198,5
199,6
200,1
201,5
202,9
203,5
204,3
205,7
206,5
207,2
208,4
209,9
210,7
211,5
212,4
213,3
214,2
215,11
216,5
217,5
218,5
219,3
220,7
221,5
222,5
223,2
224,7
225,5
226,8
227,3
228,3
229,5
230,6
231,2
232,7
233,6
234,3
235,7
236,5
237,5
238,4
239,5
240,5
241,5
242,4
243,2
244,5
245,5
246,8
247,3
248,5
249,8
250,3
251,7
252,3
253,5
254,3
255,3
256,6
257,8
258,7
259,5
260,3
261,7
262,8
263,7
264,4
265,9
266,3
267,0
268,2
269,7
270,5
271,6
272,3
273,7
274,4
275,4
276,5
