Round Number, Throughput
-1,0
1,0
2,43
3,43
4,46
5,45
6,17
7,45
8,43
9,44
10,44
11,46
12,44
13,40
14,0
15,47
16,46
17,43
18,8
19,45
20,44
21,47
22,8
23,44
24,46
25,44
26,43
27,46
28,46
29,47
30,44
31,47
32,48
33,42
34,47
35,46
36,41
37,44
38,17
39,48
40,47
41,10
42,46
43,44
44,47
45,43
46,42
47,0
48,41
49,45
50,9
51,46
52,45
53,41
54,49
55,46
56,46
57,46
58,43
59,45
60,8
61,45
62,43
63,49
64,44
65,47
66,43
67,46
68,48
69,42
70,47
71,46
72,38
73,46
74,41
75,45
76,48
77,46
78,45
79,10
80,49
81,10
82,46
83,44
84,45
85,46
86,43
87,46
88,43
89,43
90,46
91,46
92,46
93,39
94,47
95,9
96,44
97,48
98,46
99,45
100,47
101,45
102,42
103,47
104,44
105,48
106,45
107,17
108,45
109,48
110,46
111,45
112,41
113,44
114,47
115,44
116,47
117,9
118,46
119,45
120,45
121,46
122,43
123,48
124,48
125,18
126,48
127,42
128,44
129,46
130,45
131,42
132,46
133,45
134,48
135,45
136,46
137,45
138,43
139,10
140,44
141,46
142,40
143,47
144,46
145,9
146,42
147,47
148,48
149,44
150,48
151,45
152,46
153,44
154,42
155,42
156,9
157,43
158,49
159,48
160,44
161,48
162,47
163,47
164,48
165,43
166,44
167,19
168,41
169,44
170,47
171,41
172,33
173,42
174,43
175,47
176,48
177,48
178,48
179,45
180,47
181,10
182,40
183,45
184,46
185,48
186,46
187,46
188,43
189,46
190,46
191,45
192,45
193,10
194,47
195,46
196,44
197,42
198,45
199,44
200,49
201,45
202,41
203,45
204,47
205,43
206,10
207,48
208,46
209,41
210,43
211,45
212,46
213,47
214,48
215,39
216,8
217,45
218,45
219,47
220,10
221,45
222,45
223,48
224,43
225,45
226,42
227,47
228,47
229,45
230,44
231,48
232,43
233,44
234,47
235,8
236,45
237,45
238,46
239,45
240,45
241,45
242,10
243,48
244,45
245,45
246,42
247,47
248,45
249,42
250,47
251,43
252,47
253,45
254,9
255,47
256,44
257,42
258,43
259,45
260,47
261,43
262,42
263,43
264,46
265,6
266,47
267,0
268,48
269,43
270,45
271,44
272,47
273,43
274,46
275,46
276,45
